Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6491963811700485268040405867,0.649196381170048,0.649196381170048,0.649196381170048,0.649196381170048,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,209665.9
0.02,0,0.4929527786140266390089453394,0.492952778614027,0.492952778614027,0.492952778614027,0.492952778614027,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,419331.7
0.03,0,0.4449541319467824963004082098,0.444954131946782,0.444954131946782,0.444954131946782,0.444954131946782,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,628997.6
0.04,0,0.4308729663606731071072674357,0.430872966360673,0.430872966360673,0.430872966360673,0.430872966360673,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,838663.4
0.05,0,0.4202371804583227815825862639,0.420237180458323,0.420237180458323,0.420237180458323,0.420237180458323,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,1048329
0.06,0,0.4198975719115993976588466334,0.419897571911599,0.419897571911599,0.419897571911599,0.419897571911599,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,1257995
0.07,0,0.4186681059087412576729089454,0.418668105908741,0.418668105908741,0.418668105908741,0.418668105908741,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,1467661
0.08,0,0.4170209801128102274131674970,0.41702098011281,0.41702098011281,0.41702098011281,0.41702098011281,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,1677327
0.09,0,0.4151917907797031127542526144,0.415191790779703,0.415191790779703,0.415191790779703,0.415191790779703,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,1886993
0.10,0,0.4133029380392738808408139497,0.413302938039274,0.413302938039274,0.413302938039274,0.413302938039274,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,2096659
0.11,0,0.4114194861698322724217940253,0.411419486169832,0.411419486169832,0.411419486169832,0.411419486169832,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,2306324
0.12,0,0.4095760574737868023746116809,0.409576057473787,0.409576057473787,0.409576057473787,0.409576057473787,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,2515990
0.13,0,0.4077905851463283363036094882,0.407790585146328,0.407790585146328,0.407790585146328,0.407790585146328,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,2725656
0.14,0,0.4060645473048431165423617440,0.406064547304843,0.406064547304843,0.406064547304843,0.406064547304843,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,2935322
0.15,0,0.4044150619960348688339293940,0.404415061996035,0.404415061996035,0.404415061996035,0.404415061996035,0,0,0,0,14.16061491828685,24.576353268327406887806613493,24.576353268327406887806613493,3144988
